msme_id,loan_id,business_name,loan_type,sanctioned_lakhs,outstanding_lakhs,is_ntc,sector,city,state,persona
MSME056,LN-MSME056-001,"Dugal, Bassi and Soman",Supply Chain Finance,14.34,8.35,False,Logistics,Sri Ganganagar,Rajasthan,healthy_manufacturer
MSME057,LN-MSME057-001,"Peri, Dixit and Gade",Working Capital,107.09,60.74,True,Services,Nellore,Rajasthan,healthy_retail
MSME058,LN-MSME058-001,Magar-Mody,Term Loan,142.58,95.04,False,Manufacturing,Ongole,Maharashtra,random
MSME059,LN-MSME059-001,Sani-Subramanian,Cash Credit,40.61,26.51,False,Food Processing,Sultan Pur Majra,Maharashtra,distressed
MSME060,LN-MSME060-001,"Gokhale, Sawhney and Rajagopalan",LAP,107.25,68.85,True,Services,Bhalswa Jahangir Pur,Delhi,healthy_retail
MSME061,LN-MSME061-001,"Dugal, Kalla and Sachdev",Equipment Finance,139.3,67.81,True,Food Processing,Giridih,Tamil Nadu,random
MSME062,LN-MSME062-001,Lad and Sons,Mudra/PMEGP,119.05,76.33,False,Manufacturing,Kottayam,Delhi,random
MSME063,LN-MSME063-001,Warrior-Brahmbhatt,Supply Chain Finance,27.81,13.16,False,Retail,Khandwa,Gujarat,healthy_manufacturer
MSME064,LN-MSME064-001,Chhabra Inc,Working Capital,98.71,64.23,True,Pharma,Anand,Rajasthan,random
MSME065,LN-MSME065-001,Chauhan PLC,Term Loan,114.79,63.87,False,Retail,Vadodara,Karnataka,healthy_manufacturer
MSME066,LN-MSME066-001,"Dani, Soman and Panchal",Cash Credit,106.49,78.72,False,Retail,Kolkata,Karnataka,distressed
MSME067,LN-MSME067-001,"Raj, Padmanabhan and Iyer",LAP,13.04,7.36,True,Pharma,Nadiad,Maharashtra,healthy_retail
MSME068,LN-MSME068-001,Tara-Ramakrishnan,Equipment Finance,126.99,51.43,False,Agri-Input,Ballia,Maharashtra,distressed
MSME069,LN-MSME069-001,Butala Group,Mudra/PMEGP,10.26,5.39,False,Retail,Haldia,Tamil Nadu,distressed
MSME070,LN-MSME070-001,Vaidya Ltd,Supply Chain Finance,45.31,19.15,False,Retail,Ulhasnagar,Rajasthan,distressed
MSME071,LN-MSME071-001,"Baria, Chhabra and Bhakta",Working Capital,48.8,28.16,False,Manufacturing,Karnal,Tamil Nadu,random
MSME072,LN-MSME072-001,"Pall, Dayal and Kohli",Term Loan,62.12,27.23,False,Textiles,Malda,Karnataka,distressed
MSME073,LN-MSME073-001,Dasgupta and Sons,Cash Credit,146.85,65.31,True,Pharma,Ghaziabad,Karnataka,random
MSME074,LN-MSME074-001,Purohit-Muni,LAP,112.27,61.05,False,Pharma,Madhyamgram,Delhi,random
MSME075,LN-MSME075-001,"Chadha, Rana and Nagarajan",Equipment Finance,87.86,38.27,False,Logistics,Bahraich,Rajasthan,healthy_manufacturer
