msme_id,loan_id,business_name,loan_type,sanctioned_lakhs,outstanding_lakhs,is_ntc,sector,city,state,persona
MSME053,LN-MSME053-001,Bail-Gole,LAP,34.69,21.97,False,Textiles,Thoothukudi,Rajasthan,random
MSME054,LN-MSME054-001,Chopra-Sane,Equipment Finance,62.41,27.83,False,Textiles,Mangalore,Gujarat,healthy_manufacturer
MSME055,LN-MSME055-001,Shroff-Kapoor,Mudra/PMEGP,66.73,41.06,False,Services,Gurgaon,Delhi,random
MSME056,LN-MSME056-001,Bedi-More,Supply Chain Finance,46.48,44.01,False,Manufacturing,Kalyan-Dombivli,Gujarat,distressed
MSME057,LN-MSME057-001,Chana PLC,Working Capital,45.21,27.38,False,Textiles,Agra,Karnataka,random
MSME058,LN-MSME058-001,Bhat-Mishra,Term Loan,31.66,17.63,False,Manufacturing,Vasai-Virar,Karnataka,healthy_manufacturer
MSME059,LN-MSME059-001,Pradhan PLC,Cash Credit,141.89,70.61,False,Food Processing,Surendranagar Dudhrej,Tamil Nadu,distressed
MSME060,LN-MSME060-001,"Bajaj, Sheth and Parikh",LAP,134.59,71.12,False,Manufacturing,Salem,Gujarat,distressed
MSME061,LN-MSME061-001,"Batra, Mander and Banik",Equipment Finance,118.38,78.63,False,Services,Thiruvananthapuram,Gujarat,random
MSME062,LN-MSME062-001,"Narain, Dutta and Seth",Mudra/PMEGP,19.24,11.94,False,Retail,Amroha,Tamil Nadu,distressed
MSME063,LN-MSME063-001,Warrior Ltd,Supply Chain Finance,115.46,85.46,False,Pharma,Howrah,Delhi,distressed
MSME064,LN-MSME064-001,"Ramesh, Sami and Shere",Working Capital,75.83,43.49,False,Retail,Rajahmundry,Maharashtra,healthy_manufacturer
MSME065,LN-MSME065-001,"Nayak, Biswas and D’Alia",Term Loan,13.04,6.93,False,Manufacturing,Naihati,Rajasthan,healthy_manufacturer
MSME066,LN-MSME066-001,Balan and Sons,Cash Credit,29.79,13.28,False,Food Processing,Vijayawada,Delhi,distressed
MSME067,LN-MSME067-001,"Srivastava, Sandhu and Dar",LAP,71.6,41.15,False,Logistics,Barasat,Rajasthan,healthy_manufacturer
MSME068,LN-MSME068-001,Sidhu-Pal,Equipment Finance,119.33,76.22,False,Logistics,Ghaziabad,Tamil Nadu,random
MSME069,LN-MSME069-001,Menon-Dhar,Mudra/PMEGP,27.69,14.81,False,Pharma,Belgaum,Gujarat,healthy_manufacturer
MSME070,LN-MSME070-001,Mohan-Aggarwal,Supply Chain Finance,125.38,75.47,False,Textiles,Morena,Gujarat,random
MSME071,LN-MSME071-001,Ravi LLC,Working Capital,24.93,14.62,False,Logistics,Aizawl,Maharashtra,distressed
MSME072,LN-MSME072-001,"Sachdev, Pathak and Vyas",Term Loan,72.34,65.24,False,Services,Vadodara,Rajasthan,distressed
MSME073,LN-MSME073-001,"Saha, Sagar and Ramanathan",Cash Credit,149.16,84.09,True,Textiles,Haldia,Delhi,healthy_retail
MSME074,LN-MSME074-001,Ganesh and Sons,LAP,84.95,55.19,True,Services,Chittoor,Maharashtra,healthy_retail
MSME075,LN-MSME075-001,Sastry and Sons,Equipment Finance,132.93,105.19,False,Textiles,Bally,Maharashtra,distressed
