msme_id,loan_id,observation_month,stress_12m
MSME003,LN-MSME003-001,19,1
MSME003,LN-MSME003-001,20,1
MSME003,LN-MSME003-001,21,1
MSME003,LN-MSME003-001,22,1
MSME003,LN-MSME003-001,23,0
MSME004,LN-MSME004-001,0,0
MSME004,LN-MSME004-001,1,0
MSME004,LN-MSME004-001,2,0
MSME004,LN-MSME004-001,3,0
MSME004,LN-MSME004-001,4,0
MSME004,LN-MSME004-001,5,0
MSME004,LN-MSME004-001,6,0
MSME004,LN-MSME004-001,7,0
MSME004,LN-MSME004-001,8,0
MSME004,LN-MSME004-001,9,0
MSME004,LN-MSME004-001,10,0
MSME004,LN-MSME004-001,11,0
MSME004,LN-MSME004-001,12,0
MSME004,LN-MSME004-001,13,0
MSME004,LN-MSME004-001,14,0
MSME004,LN-MSME004-001,15,0
MSME004,LN-MSME004-001,16,0
MSME004,LN-MSME004-001,17,0
MSME004,LN-MSME004-001,18,0
MSME004,LN-MSME004-001,19,0
MSME004,LN-MSME004-001,20,0
MSME004,LN-MSME004-001,21,0
MSME004,LN-MSME004-001,22,0
MSME004,LN-MSME004-001,23,0
MSME005,LN-MSME005-001,0,0
MSME005,LN-MSME005-001,1,0
MSME005,LN-MSME005-001,2,0
MSME005,LN-MSME005-001,3,0
MSME005,LN-MSME005-001,4,0
MSME005,LN-MSME005-001,5,0
MSME005,LN-MSME005-001,6,0
MSME005,LN-MSME005-001,7,0
MSME005,LN-MSME005-001,8,0
MSME005,LN-MSME005-001,9,0
MSME005,LN-MSME005-001,10,0
MSME005,LN-MSME005-001,11,0
MSME005,LN-MSME005-001,12,0
MSME005,LN-MSME005-001,13,0
MSME005,LN-MSME005-001,14,0
MSME005,LN-MSME005-001,15,0
MSME005,LN-MSME005-001,16,0
MSME005,LN-MSME005-001,17,0
MSME005,LN-MSME005-001,18,0
MSME005,LN-MSME005-001,19,0
MSME005,LN-MSME005-001,20,0
MSME005,LN-MSME005-001,21,0
MSME005,LN-MSME005-001,22,0
MSME005,LN-MSME005-001,23,0
MSME006,LN-MSME006-001,0,0
MSME006,LN-MSME006-001,1,0
MSME006,LN-MSME006-001,2,0
MSME006,LN-MSME006-001,3,0
MSME006,LN-MSME006-001,4,0
MSME006,LN-MSME006-001,5,0
MSME006,LN-MSME006-001,6,0
MSME006,LN-MSME006-001,7,0
MSME006,LN-MSME006-001,8,0
MSME006,LN-MSME006-001,9,0
MSME006,LN-MSME006-001,10,0
MSME006,LN-MSME006-001,11,0
MSME006,LN-MSME006-001,12,0
MSME006,LN-MSME006-001,13,0
MSME006,LN-MSME006-001,14,0
MSME006,LN-MSME006-001,15,0
MSME006,LN-MSME006-001,16,0
MSME006,LN-MSME006-001,17,0
MSME006,LN-MSME006-001,18,0
MSME006,LN-MSME006-001,19,0
MSME006,LN-MSME006-001,20,0
MSME006,LN-MSME006-001,21,0
MSME006,LN-MSME006-001,22,0
MSME006,LN-MSME006-001,23,0
MSME007,LN-MSME007-001,0,0
MSME007,LN-MSME007-001,1,0
MSME007,LN-MSME007-001,2,0
MSME007,LN-MSME007-001,3,0
MSME007,LN-MSME007-001,4,0
MSME007,LN-MSME007-001,5,0
MSME007,LN-MSME007-001,6,0
MSME007,LN-MSME007-001,7,0
MSME007,LN-MSME007-001,8,0
MSME007,LN-MSME007-001,9,0
MSME007,LN-MSME007-001,10,0
MSME007,LN-MSME007-001,11,0
MSME007,LN-MSME007-001,12,0
MSME007,LN-MSME007-001,13,0
MSME007,LN-MSME007-001,14,0
MSME007,LN-MSME007-001,15,0
MSME007,LN-MSME007-001,16,0
MSME007,LN-MSME007-001,17,0
MSME007,LN-MSME007-001,18,0
MSME007,LN-MSME007-001,19,0
MSME007,LN-MSME007-001,20,0
MSME007,LN-MSME007-001,21,0
MSME007,LN-MSME007-001,22,0
MSME007,LN-MSME007-001,23,0
MSME008,LN-MSME008-001,0,0
MSME008,LN-MSME008-001,1,0
MSME008,LN-MSME008-001,2,0
MSME008,LN-MSME008-001,3,0
MSME008,LN-MSME008-001,4,0
MSME008,LN-MSME008-001,5,0
MSME008,LN-MSME008-001,6,0
MSME008,LN-MSME008-001,7,0
MSME008,LN-MSME008-001,8,0
MSME008,LN-MSME008-001,9,0
MSME008,LN-MSME008-001,10,0
MSME008,LN-MSME008-001,11,0
MSME008,LN-MSME008-001,12,0
MSME008,LN-MSME008-001,13,0
MSME008,LN-MSME008-001,14,0
MSME008,LN-MSME008-001,15,0
MSME008,LN-MSME008-001,16,0
MSME008,LN-MSME008-001,17,0
MSME008,LN-MSME008-001,18,0
MSME008,LN-MSME008-001,19,0
MSME008,LN-MSME008-001,20,0
MSME008,LN-MSME008-001,21,0
MSME008,LN-MSME008-001,22,0
MSME008,LN-MSME008-001,23,0
MSME009,LN-MSME009-001,0,0
MSME009,LN-MSME009-001,1,0
MSME009,LN-MSME009-001,2,0
MSME009,LN-MSME009-001,3,0
MSME009,LN-MSME009-001,4,0
MSME009,LN-MSME009-001,5,0
MSME009,LN-MSME009-001,6,0
MSME009,LN-MSME009-001,7,0
MSME009,LN-MSME009-001,8,0
MSME009,LN-MSME009-001,9,0
MSME009,LN-MSME009-001,10,0
MSME009,LN-MSME009-001,11,0
MSME009,LN-MSME009-001,12,0
MSME009,LN-MSME009-001,13,0
MSME009,LN-MSME009-001,14,0
MSME009,LN-MSME009-001,15,0
MSME009,LN-MSME009-001,16,0
MSME009,LN-MSME009-001,17,0
MSME009,LN-MSME009-001,18,0
MSME009,LN-MSME009-001,19,0
MSME009,LN-MSME009-001,20,0
MSME009,LN-MSME009-001,21,0
MSME009,LN-MSME009-001,22,0
MSME009,LN-MSME009-001,23,0
MSME010,LN-MSME010-001,0,0
MSME010,LN-MSME010-001,1,0
MSME010,LN-MSME010-001,2,1
MSME010,LN-MSME010-001,3,1
MSME010,LN-MSME010-001,4,1
MSME010,LN-MSME010-001,5,1
MSME010,LN-MSME010-001,6,1
MSME010,LN-MSME010-001,7,1
MSME010,LN-MSME010-001,8,1
MSME010,LN-MSME010-001,9,1
MSME010,LN-MSME010-001,10,1
MSME010,LN-MSME010-001,11,1
MSME010,LN-MSME010-001,12,1
MSME010,LN-MSME010-001,13,1
MSME010,LN-MSME010-001,14,1
MSME010,LN-MSME010-001,15,1
MSME010,LN-MSME010-001,16,1
MSME010,LN-MSME010-001,17,1
MSME010,LN-MSME010-001,18,1
MSME010,LN-MSME010-001,19,1
MSME010,LN-MSME010-001,20,1
MSME010,LN-MSME010-001,21,1
MSME010,LN-MSME010-001,22,1
MSME010,LN-MSME010-001,23,0
MSME011,LN-MSME011-001,0,0
MSME011,LN-MSME011-001,1,0
MSME011,LN-MSME011-001,2,0
MSME011,LN-MSME011-001,3,0
MSME011,LN-MSME011-001,4,0
MSME011,LN-MSME011-001,5,0
MSME011,LN-MSME011-001,6,0
MSME011,LN-MSME011-001,7,0
MSME011,LN-MSME011-001,8,0
MSME011,LN-MSME011-001,9,0
MSME011,LN-MSME011-001,10,0
MSME011,LN-MSME011-001,11,0
MSME011,LN-MSME011-001,12,0
MSME011,LN-MSME011-001,13,0
MSME011,LN-MSME011-001,14,0
MSME011,LN-MSME011-001,15,0
MSME011,LN-MSME011-001,16,0
MSME011,LN-MSME011-001,17,0
MSME011,LN-MSME011-001,18,0
MSME011,LN-MSME011-001,19,0
MSME011,LN-MSME011-001,20,0
MSME011,LN-MSME011-001,21,0
MSME011,LN-MSME011-001,22,0
MSME011,LN-MSME011-001,23,0
MSME012,LN-MSME012-001,0,0
MSME012,LN-MSME012-001,1,0
MSME012,LN-MSME012-001,2,0
MSME012,LN-MSME012-001,3,0
MSME012,LN-MSME012-001,4,0
MSME012,LN-MSME012-001,5,0
MSME012,LN-MSME012-001,6,0
MSME012,LN-MSME012-001,7,0
MSME012,LN-MSME012-001,8,0
MSME012,LN-MSME012-001,9,0
MSME012,LN-MSME012-001,10,0
MSME012,LN-MSME012-001,11,0
MSME012,LN-MSME012-001,12,0
MSME012,LN-MSME012-001,13,0
MSME012,LN-MSME012-001,14,0
MSME012,LN-MSME012-001,15,0
MSME012,LN-MSME012-001,16,0
MSME012,LN-MSME012-001,17,0
MSME012,LN-MSME012-001,18,0
MSME012,LN-MSME012-001,19,0
MSME012,LN-MSME012-001,20,0
MSME012,LN-MSME012-001,21,0
MSME012,LN-MSME012-001,22,0
MSME012,LN-MSME012-001,23,0
MSME013,LN-MSME013-001,0,0
MSME013,LN-MSME013-001,1,0
MSME013,LN-MSME013-001,2,1
MSME013,LN-MSME013-001,3,1
MSME013,LN-MSME013-001,4,1
MSME013,LN-MSME013-001,5,1
MSME013,LN-MSME013-001,6,1
MSME013,LN-MSME013-001,7,1
MSME013,LN-MSME013-001,8,1
MSME013,LN-MSME013-001,9,1
MSME013,LN-MSME013-001,10,1
MSME013,LN-MSME013-001,11,1
MSME013,LN-MSME013-001,12,1
MSME013,LN-MSME013-001,13,1
MSME013,LN-MSME013-001,14,1
MSME013,LN-MSME013-001,15,1
MSME013,LN-MSME013-001,16,1
MSME013,LN-MSME013-001,17,1
MSME013,LN-MSME013-001,18,1
MSME013,LN-MSME013-001,19,1
MSME013,LN-MSME013-001,20,1
MSME013,LN-MSME013-001,21,1
MSME013,LN-MSME013-001,22,1
MSME013,LN-MSME013-001,23,0
MSME014,LN-MSME014-001,0,0
MSME014,LN-MSME014-001,1,0
MSME014,LN-MSME014-001,2,1
MSME014,LN-MSME014-001,3,1
MSME014,LN-MSME014-001,4,1
MSME014,LN-MSME014-001,5,1
MSME014,LN-MSME014-001,6,1
MSME014,LN-MSME014-001,7,1
MSME014,LN-MSME014-001,8,1
MSME014,LN-MSME014-001,9,1
MSME014,LN-MSME014-001,10,1
MSME014,LN-MSME014-001,11,1
MSME014,LN-MSME014-001,12,1
MSME014,LN-MSME014-001,13,1
MSME014,LN-MSME014-001,14,1
MSME014,LN-MSME014-001,15,1
MSME014,LN-MSME014-001,16,1
MSME014,LN-MSME014-001,17,1
MSME014,LN-MSME014-001,18,1
MSME014,LN-MSME014-001,19,1
MSME014,LN-MSME014-001,20,1
MSME014,LN-MSME014-001,21,1
MSME014,LN-MSME014-001,22,1
MSME014,LN-MSME014-001,23,0
MSME015,LN-MSME015-001,0,0
MSME015,LN-MSME015-001,1,0
MSME015,LN-MSME015-001,2,0
MSME015,LN-MSME015-001,3,0
MSME015,LN-MSME015-001,4,0
MSME015,LN-MSME015-001,5,0
MSME015,LN-MSME015-001,6,0
MSME015,LN-MSME015-001,7,0
MSME015,LN-MSME015-001,8,0
MSME015,LN-MSME015-001,9,0
MSME015,LN-MSME015-001,10,0
MSME015,LN-MSME015-001,11,0
MSME015,LN-MSME015-001,12,0
MSME015,LN-MSME015-001,13,0
MSME015,LN-MSME015-001,14,0
MSME015,LN-MSME015-001,15,0
MSME015,LN-MSME015-001,16,0
MSME015,LN-MSME015-001,17,0
MSME015,LN-MSME015-001,18,0
MSME015,LN-MSME015-001,19,0
MSME015,LN-MSME015-001,20,0
MSME015,LN-MSME015-001,21,0
MSME015,LN-MSME015-001,22,0
MSME015,LN-MSME015-001,23,0
MSME016,LN-MSME016-001,0,0
MSME016,LN-MSME016-001,1,0
MSME016,LN-MSME016-001,2,0
MSME016,LN-MSME016-001,3,0
MSME016,LN-MSME016-001,4,0
MSME016,LN-MSME016-001,5,0
MSME016,LN-MSME016-001,6,0
MSME016,LN-MSME016-001,7,0
MSME016,LN-MSME016-001,8,0
MSME016,LN-MSME016-001,9,0
MSME016,LN-MSME016-001,10,0
MSME016,LN-MSME016-001,11,0
MSME016,LN-MSME016-001,12,0
MSME016,LN-MSME016-001,13,0
MSME016,LN-MSME016-001,14,0
MSME016,LN-MSME016-001,15,0
MSME016,LN-MSME016-001,16,0
MSME016,LN-MSME016-001,17,0
MSME016,LN-MSME016-001,18,0
MSME016,LN-MSME016-001,19,0
MSME016,LN-MSME016-001,20,0
MSME016,LN-MSME016-001,21,0
MSME016,LN-MSME016-001,22,0
MSME016,LN-MSME016-001,23,0
MSME017,LN-MSME017-001,0,0
MSME017,LN-MSME017-001,1,0
MSME017,LN-MSME017-001,2,0
MSME017,LN-MSME017-001,3,0
MSME017,LN-MSME017-001,4,0
MSME017,LN-MSME017-001,5,0
MSME017,LN-MSME017-001,6,0
MSME017,LN-MSME017-001,7,0
MSME017,LN-MSME017-001,8,0
MSME017,LN-MSME017-001,9,0
MSME017,LN-MSME017-001,10,0
MSME017,LN-MSME017-001,11,0
MSME017,LN-MSME017-001,12,0
MSME017,LN-MSME017-001,13,0
MSME017,LN-MSME017-001,14,0
MSME017,LN-MSME017-001,15,0
MSME017,LN-MSME017-001,16,0
MSME017,LN-MSME017-001,17,0
MSME017,LN-MSME017-001,18,0
MSME017,LN-MSME017-001,19,0
MSME017,LN-MSME017-001,20,0
MSME017,LN-MSME017-001,21,0
MSME017,LN-MSME017-001,22,0
MSME017,LN-MSME017-001,23,0
MSME018,LN-MSME018-001,0,0
MSME018,LN-MSME018-001,1,0
MSME018,LN-MSME018-001,2,0
MSME018,LN-MSME018-001,3,0
MSME018,LN-MSME018-001,4,0
MSME018,LN-MSME018-001,5,0
MSME018,LN-MSME018-001,6,0
MSME018,LN-MSME018-001,7,0
MSME018,LN-MSME018-001,8,0
MSME018,LN-MSME018-001,9,0
MSME018,LN-MSME018-001,10,0
MSME018,LN-MSME018-001,11,0
MSME018,LN-MSME018-001,12,0
MSME018,LN-MSME018-001,13,0
MSME018,LN-MSME018-001,14,0
MSME018,LN-MSME018-001,15,0
MSME018,LN-MSME018-001,16,0
MSME018,LN-MSME018-001,17,0
MSME018,LN-MSME018-001,18,0
MSME018,LN-MSME018-001,19,0
MSME018,LN-MSME018-001,20,0
MSME018,LN-MSME018-001,21,0
MSME018,LN-MSME018-001,22,0
MSME018,LN-MSME018-001,23,0
MSME019,LN-MSME019-001,0,0
MSME019,LN-MSME019-001,1,0
MSME019,LN-MSME019-001,2,1
MSME019,LN-MSME019-001,3,1
MSME019,LN-MSME019-001,4,1
MSME019,LN-MSME019-001,5,1
MSME019,LN-MSME019-001,6,1
MSME019,LN-MSME019-001,7,1
MSME019,LN-MSME019-001,8,1
MSME019,LN-MSME019-001,9,1
MSME019,LN-MSME019-001,10,1
MSME019,LN-MSME019-001,11,1
MSME019,LN-MSME019-001,12,1
MSME019,LN-MSME019-001,13,1
MSME019,LN-MSME019-001,14,1
MSME019,LN-MSME019-001,15,1
MSME019,LN-MSME019-001,16,1
MSME019,LN-MSME019-001,17,1
MSME019,LN-MSME019-001,18,1
MSME019,LN-MSME019-001,19,1
MSME019,LN-MSME019-001,20,1
MSME019,LN-MSME019-001,21,1
MSME019,LN-MSME019-001,22,1
MSME019,LN-MSME019-001,23,0
MSME020,LN-MSME020-001,0,0
MSME020,LN-MSME020-001,1,0
MSME020,LN-MSME020-001,2,0
MSME020,LN-MSME020-001,3,0
MSME020,LN-MSME020-001,4,0
MSME020,LN-MSME020-001,5,0
MSME020,LN-MSME020-001,6,0
MSME020,LN-MSME020-001,7,0
MSME020,LN-MSME020-001,8,0
MSME020,LN-MSME020-001,9,0
MSME020,LN-MSME020-001,10,0
MSME020,LN-MSME020-001,11,0
MSME020,LN-MSME020-001,12,0
MSME020,LN-MSME020-001,13,0
MSME020,LN-MSME020-001,14,0
MSME020,LN-MSME020-001,15,0
MSME020,LN-MSME020-001,16,0
MSME020,LN-MSME020-001,17,0
MSME020,LN-MSME020-001,18,0
MSME020,LN-MSME020-001,19,0
MSME020,LN-MSME020-001,20,0
MSME020,LN-MSME020-001,21,0
MSME020,LN-MSME020-001,22,0
MSME020,LN-MSME020-001,23,0
MSME021,LN-MSME021-001,0,0
MSME021,LN-MSME021-001,1,0
MSME021,LN-MSME021-001,2,0
MSME021,LN-MSME021-001,3,0
MSME021,LN-MSME021-001,4,0
MSME021,LN-MSME021-001,5,0
MSME021,LN-MSME021-001,6,0
MSME021,LN-MSME021-001,7,0
MSME021,LN-MSME021-001,8,0
MSME021,LN-MSME021-001,9,0
MSME021,LN-MSME021-001,10,0
MSME021,LN-MSME021-001,11,0
MSME021,LN-MSME021-001,12,0
MSME021,LN-MSME021-001,13,0
MSME021,LN-MSME021-001,14,0
MSME021,LN-MSME021-001,15,0
MSME021,LN-MSME021-001,16,0
MSME021,LN-MSME021-001,17,0
MSME021,LN-MSME021-001,18,0
MSME021,LN-MSME021-001,19,0
MSME021,LN-MSME021-001,20,0
MSME021,LN-MSME021-001,21,0
MSME021,LN-MSME021-001,22,0
MSME021,LN-MSME021-001,23,0
MSME022,LN-MSME022-001,0,0
MSME022,LN-MSME022-001,1,0
MSME022,LN-MSME022-001,2,0
MSME022,LN-MSME022-001,3,0
MSME022,LN-MSME022-001,4,0
MSME022,LN-MSME022-001,5,0
MSME022,LN-MSME022-001,6,0
MSME022,LN-MSME022-001,7,0
MSME022,LN-MSME022-001,8,0
MSME022,LN-MSME022-001,9,0
MSME022,LN-MSME022-001,10,0
MSME022,LN-MSME022-001,11,0
MSME022,LN-MSME022-001,12,0
MSME022,LN-MSME022-001,13,0
MSME022,LN-MSME022-001,14,0
MSME022,LN-MSME022-001,15,0
MSME022,LN-MSME022-001,16,0
MSME022,LN-MSME022-001,17,0
MSME022,LN-MSME022-001,18,0
MSME022,LN-MSME022-001,19,0
MSME022,LN-MSME022-001,20,0
MSME022,LN-MSME022-001,21,0
MSME022,LN-MSME022-001,22,0
MSME022,LN-MSME022-001,23,0
MSME023,LN-MSME023-001,0,0
MSME023,LN-MSME023-001,1,0
MSME023,LN-MSME023-001,2,0
MSME023,LN-MSME023-001,3,0
MSME023,LN-MSME023-001,4,0
MSME023,LN-MSME023-001,5,0
MSME023,LN-MSME023-001,6,0
MSME023,LN-MSME023-001,7,0
MSME023,LN-MSME023-001,8,0
MSME023,LN-MSME023-001,9,0
MSME023,LN-MSME023-001,10,0
MSME023,LN-MSME023-001,11,0
MSME023,LN-MSME023-001,12,0
MSME023,LN-MSME023-001,13,0
MSME023,LN-MSME023-001,14,0
MSME023,LN-MSME023-001,15,0
MSME023,LN-MSME023-001,16,0
MSME023,LN-MSME023-001,17,0
MSME023,LN-MSME023-001,18,0
MSME023,LN-MSME023-001,19,0
MSME023,LN-MSME023-001,20,0
MSME023,LN-MSME023-001,21,0
MSME023,LN-MSME023-001,22,0
MSME023,LN-MSME023-001,23,0
MSME024,LN-MSME024-001,0,0
MSME024,LN-MSME024-001,1,0
MSME024,LN-MSME024-001,2,0
MSME024,LN-MSME024-001,3,0
MSME024,LN-MSME024-001,4,0
MSME024,LN-MSME024-001,5,0
MSME024,LN-MSME024-001,6,0
MSME024,LN-MSME024-001,7,0
MSME024,LN-MSME024-001,8,0
MSME024,LN-MSME024-001,9,0
MSME024,LN-MSME024-001,10,0
MSME024,LN-MSME024-001,11,0
MSME024,LN-MSME024-001,12,0
MSME024,LN-MSME024-001,13,0
MSME024,LN-MSME024-001,14,0
MSME024,LN-MSME024-001,15,0
MSME024,LN-MSME024-001,16,0
MSME024,LN-MSME024-001,17,0
MSME024,LN-MSME024-001,18,0
MSME024,LN-MSME024-001,19,0
MSME024,LN-MSME024-001,20,0
MSME024,LN-MSME024-001,21,0
MSME024,LN-MSME024-001,22,0
MSME024,LN-MSME024-001,23,0
MSME025,LN-MSME025-001,0,0
MSME025,LN-MSME025-001,1,0
MSME025,LN-MSME025-001,2,0
MSME025,LN-MSME025-001,3,0
MSME025,LN-MSME025-001,4,0
MSME025,LN-MSME025-001,5,0
MSME025,LN-MSME025-001,6,0
MSME025,LN-MSME025-001,7,0
MSME025,LN-MSME025-001,8,0
MSME025,LN-MSME025-001,9,0
MSME025,LN-MSME025-001,10,0
MSME025,LN-MSME025-001,11,0
MSME025,LN-MSME025-001,12,0
MSME025,LN-MSME025-001,13,0
MSME025,LN-MSME025-001,14,0
MSME025,LN-MSME025-001,15,0
MSME025,LN-MSME025-001,16,0
MSME025,LN-MSME025-001,17,0
MSME025,LN-MSME025-001,18,0
MSME025,LN-MSME025-001,19,0
MSME025,LN-MSME025-001,20,0
MSME025,LN-MSME025-001,21,0
MSME025,LN-MSME025-001,22,0
MSME025,LN-MSME025-001,23,0
MSME026,LN-MSME026-001,0,0
MSME026,LN-MSME026-001,1,0
MSME026,LN-MSME026-001,2,1
MSME026,LN-MSME026-001,3,1
MSME026,LN-MSME026-001,4,1
MSME026,LN-MSME026-001,5,1
MSME026,LN-MSME026-001,6,1
MSME026,LN-MSME026-001,7,1
MSME026,LN-MSME026-001,8,1
MSME026,LN-MSME026-001,9,1
MSME026,LN-MSME026-001,10,1
MSME026,LN-MSME026-001,11,1
MSME026,LN-MSME026-001,12,1
MSME026,LN-MSME026-001,13,1
MSME026,LN-MSME026-001,14,1
MSME026,LN-MSME026-001,15,1
MSME026,LN-MSME026-001,16,1
MSME026,LN-MSME026-001,17,1
MSME026,LN-MSME026-001,18,1
MSME026,LN-MSME026-001,19,1
MSME026,LN-MSME026-001,20,1
MSME026,LN-MSME026-001,21,1
MSME026,LN-MSME026-001,22,1
MSME026,LN-MSME026-001,23,0
MSME027,LN-MSME027-001,0,0
MSME027,LN-MSME027-001,1,0
MSME027,LN-MSME027-001,2,0
MSME027,LN-MSME027-001,3,0
MSME027,LN-MSME027-001,4,0
MSME027,LN-MSME027-001,5,0
MSME027,LN-MSME027-001,6,0
MSME027,LN-MSME027-001,7,0
MSME027,LN-MSME027-001,8,0
MSME027,LN-MSME027-001,9,0
MSME027,LN-MSME027-001,10,0
MSME027,LN-MSME027-001,11,0
MSME027,LN-MSME027-001,12,0
MSME027,LN-MSME027-001,13,0
MSME027,LN-MSME027-001,14,0
MSME027,LN-MSME027-001,15,0
MSME027,LN-MSME027-001,16,0
MSME027,LN-MSME027-001,17,0
MSME027,LN-MSME027-001,18,0
MSME027,LN-MSME027-001,19,0
MSME027,LN-MSME027-001,20,0
MSME027,LN-MSME027-001,21,0
MSME027,LN-MSME027-001,22,0
MSME027,LN-MSME027-001,23,0
MSME028,LN-MSME028-001,0,0
MSME028,LN-MSME028-001,1,0
MSME028,LN-MSME028-001,2,1
MSME028,LN-MSME028-001,3,1
MSME028,LN-MSME028-001,4,1
MSME028,LN-MSME028-001,5,1
MSME028,LN-MSME028-001,6,1
MSME028,LN-MSME028-001,7,1
MSME028,LN-MSME028-001,8,1
MSME028,LN-MSME028-001,9,1
MSME028,LN-MSME028-001,10,1
MSME028,LN-MSME028-001,11,1
MSME028,LN-MSME028-001,12,1
MSME028,LN-MSME028-001,13,1
MSME028,LN-MSME028-001,14,1
MSME028,LN-MSME028-001,15,1
MSME028,LN-MSME028-001,16,1
MSME028,LN-MSME028-001,17,1
MSME028,LN-MSME028-001,18,1
MSME028,LN-MSME028-001,19,1
MSME028,LN-MSME028-001,20,1
MSME028,LN-MSME028-001,21,1
MSME028,LN-MSME028-001,22,1
MSME028,LN-MSME028-001,23,0
MSME029,LN-MSME029-001,0,0
MSME029,LN-MSME029-001,1,0
MSME029,LN-MSME029-001,2,0
MSME029,LN-MSME029-001,3,0
MSME029,LN-MSME029-001,4,0
MSME029,LN-MSME029-001,5,0
MSME029,LN-MSME029-001,6,0
MSME029,LN-MSME029-001,7,0
MSME029,LN-MSME029-001,8,0
MSME029,LN-MSME029-001,9,0
MSME029,LN-MSME029-001,10,0
MSME029,LN-MSME029-001,11,0
MSME029,LN-MSME029-001,12,0
MSME029,LN-MSME029-001,13,0
MSME029,LN-MSME029-001,14,0
MSME029,LN-MSME029-001,15,0
MSME029,LN-MSME029-001,16,0
MSME029,LN-MSME029-001,17,0
MSME029,LN-MSME029-001,18,0
MSME029,LN-MSME029-001,19,0
MSME029,LN-MSME029-001,20,0
MSME029,LN-MSME029-001,21,0
MSME029,LN-MSME029-001,22,0
MSME029,LN-MSME029-001,23,0
MSME030,LN-MSME030-001,0,0
MSME030,LN-MSME030-001,1,0
MSME030,LN-MSME030-001,2,0
MSME030,LN-MSME030-001,3,0
MSME030,LN-MSME030-001,4,0
MSME030,LN-MSME030-001,5,0
MSME030,LN-MSME030-001,6,0
MSME030,LN-MSME030-001,7,0
MSME030,LN-MSME030-001,8,0
MSME030,LN-MSME030-001,9,0
MSME030,LN-MSME030-001,10,0
MSME030,LN-MSME030-001,11,0
MSME030,LN-MSME030-001,12,0
MSME030,LN-MSME030-001,13,0
MSME030,LN-MSME030-001,14,0
MSME030,LN-MSME030-001,15,0
MSME030,LN-MSME030-001,16,0
MSME030,LN-MSME030-001,17,0
MSME030,LN-MSME030-001,18,0
MSME030,LN-MSME030-001,19,0
MSME030,LN-MSME030-001,20,0
MSME030,LN-MSME030-001,21,0
MSME030,LN-MSME030-001,22,0
MSME030,LN-MSME030-001,23,0
MSME031,LN-MSME031-001,0,0
MSME031,LN-MSME031-001,1,0
MSME031,LN-MSME031-001,2,0
MSME031,LN-MSME031-001,3,0
MSME031,LN-MSME031-001,4,0
MSME031,LN-MSME031-001,5,0
MSME031,LN-MSME031-001,6,0
MSME031,LN-MSME031-001,7,0
MSME031,LN-MSME031-001,8,0
MSME031,LN-MSME031-001,9,0
MSME031,LN-MSME031-001,10,0
MSME031,LN-MSME031-001,11,0
MSME031,LN-MSME031-001,12,0
MSME031,LN-MSME031-001,13,0
